;t;y(t) aprox;y(t) real;error abs
73;0.7227722772277232;1.3652969836419873;1.3730617878255407;0.007764804183553409
74;0.7326732673267331;1.3788056457958033;1.3868202807205439;0.008014634924740527
75;0.742574257425743;1.3927018879702349;1.4009738411113677;0.008271953141132826
76;0.7524752475247529;1.4069954749893627;1.415532461520916;0.008536986531553215
77;0.7623762376237628;1.4216964160694174;1.4305063856559448;0.008809969586527355
78;0.7722772277227727;1.436814970492487;1.4459061143050347;0.009091143812547609
79;0.7821782178217827;1.4523616534433967;1.4617424114071609;0.009380757963764141
80;0.7920792079207926;1.4683472420143586;1.4780263102957343;0.009679068281375658
81;0.8019801980198025;1.4847827813821444;1.4947691201231148;0.009986338740970435
82;0.8118811881188124;1.5016795911626797;1.5119824324708269;0.010302841308147181
83;0.8217821782178223;1.5190492719481203;1.5296781281507874;0.01062885620266707
